ant,from,to,m,tracklet,assigned,single,source
BB,9001,9042,4,trj_id3_ti4_1_tf4_42,0,0,0
BB,9043,9065,4,trj_id3_ti4_43_tf4_65,0,0,0
BB,9066,9068,4,trj_id2_ti4_66_tf4_68,0,0,0
BB,9069,9072,4,trj_id3_ti4_69_tf4_72,0,0,0
BB,9073,9080,4,trj_id2_ti4_73_tf4_80,0,0,0
BB,9081,9081,4,trj_id3_ti4_81_tf4_81,0,0,0
BB,9082,9094,4,trj_id2_ti4_82_tf4_94,0,0,0
BB,9095,9116,4,trj_id1_ti4_95_tf4_116,0,0,0
BB,9117,9145,4,trj_id1_ti4_117_tf4_145,0,0,0
BB,9146,9156,4,trj_id1_ti4_146_tf4_156,0,0,0
BB,9157,9503,4,trj_id1_ti4_157_tf4_503,0,0,0
BB,9504,9544,4,trj_id1_ti4_504_tf4_544,0,0,0
BB,9545,9546,4,trj_id1_ti4_545_tf4_546,0,0,0
BB,9547,9553,4,trj_id2_ti4_547_tf4_553,0,0,0
BB,9554,9554,4,trj_id1_ti4_554_tf4_554,0,0,0
BB,9555,9558,4,trj_id2_ti4_555_tf4_558,0,0,0
BB,9559,9566,4,trj_id1_ti4_559_tf4_566,0,0,0
BB,9567,9653,4,trj_id2_ti4_567_tf4_653,0,0,0
BB,9654,9724,4,trj_id3_ti4_654_tf4_724,0,0,0
BB,9725,9799,4,trj_id2_ti4_725_tf4_799,0,0,0
BB,9800,9973,4,trj_id2_ti4_800_tf4_973,0,0,0
BB,9974,9974,4,trj_id1_ti4_974_tf4_974,0,0,0
BB,9975,9975,4,trj_id1_ti4_975_tf4_975,0,0,0
BB,9976,10022,4,trj_id1_ti4_976_tf4_1022,0,0,0
BB,10023,10066,4,trj_id7_ti4_1023_tf4_1066,0,0,0
BB,10067,10080,4,trj_id6_ti4_1067_tf4_1080,0,0,0
BB,10081,10087,4,trj_id1_ti4_1081_tf4_1087,0,0,0
BB,10088,10088,4,trj_id6_ti4_1088_tf4_1088,0,0,0
BB,10089,10244,4,trj_id1_ti4_1089_tf4_1244,0,0,0
BB,10245,10252,4,trj_id1_ti4_1245_tf4_1252,0,0,0
BB,10253,10263,4,trj_id1_ti4_1253_tf4_1263,0,0,0
BB,10264,10291,4,trj_id1_ti4_1264_tf4_1291,0,0,0
BB,10292,10668,4,trj_id1_ti4_1292_tf4_1668,0,0,0
BB,10669,10685,4,trj_id1_ti4_1669_tf4_1685,0,0,0
BB,10686,10740,4,trj_id1_ti4_1686_tf4_1740,0,0,0
BB,10741,10741,4,trj_id6_ti4_1741_tf4_1741,0,0,0
BB,10742,10817,4,trj_id6_ti4_1742_tf4_1817,0,0,0
